Full Name,FIRST,LAST,NICKNAME,HT.,Height_FT,Height_INCH,Height_CM,WT.,WEIGHT_LB,WEIGHT_KG,REACH,REACH_INCH,STANCE,W,L,D,BELT,GENDER,DIVISION
Katsuaki Furuki,Katsuaki,Furuki,,"6' 0""",6,0,182.88,168 lbs.,168,76.203456,--,0,n/a,1,1,0,,M,Welterweight
Katsuhiko Nagata,Katsuhiko,Nagata,,"5' 7""",5,7,170.18,154 lbs.,154,69.853168,--,0,Southpaw,6,7,2,,M,Lightweight
Katsuhisa Fujii,Katsuhisa,Fujii,Shamoji,"6' 0""",6,0,182.88,205 lbs.,205,92.98636,--,0,Orthodox,9,18,1,,M,Light Heavyweight
Katsunori Kikuno,Katsunori,Kikuno,,"5' 8""",5,8,172.72,145 lbs.,145,65.77084,"66.0""",66,Orthodox,23,8,2,,M,Featherweight
Katsuya Inoue,Katsuya,Inoue,,"5' 9""",5,9,175.26,168 lbs.,168,76.203456,--,0,Southpaw,19,9,4,,M,Welterweight
Katsuyori Shibata,Katsuyori,Shibata,,"6' 0""",6,0,182.88,168 lbs.,168,76.203456,--,0,Orthodox,4,11,1,,M,Welterweight
Kazuhiro Hamanaka,Kazuhiro,Hamanaka,,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Southpaw,5,7,1,,M,Middleweight
Kazuhiro Nakamura,Kazuhiro,Nakamura,Kaz,"5' 11""",5,11,180.34,205 lbs.,205,92.98636,"70.0""",70,Orthodox,15,11,0,,M,Light Heavyweight
Kazuhisa Watanabe,Kazuhisa,Watanabe,,"5' 6""",5,6,167.64,139 lbs.,139,63.049288,--,0,n/a,0,1,0,,M,Featherweight
Kazuki Okubo,Kazuki,Okubo,,"5' 11""",5,11,180.34,175 lbs.,175,79.3786,--,0,Orthodox,7,9,0,,M,Middleweight
Kazuki Tokudome,Kazuki,Tokudome,,"5' 11""",5,11,180.34,155 lbs.,155,70.30676,"73.0""",73,Southpaw,12,6,1,,M,Lightweight
Kazunari Murakami,Kazunari,Murakami,,"6' 1""",6,1,185.42,220 lbs.,220,99.79024,--,0,Orthodox,5,5,0,,M,Heavyweight
Kazunori Yokota,Kazunori,Yokota,,"5' 8""",5,8,172.72,154 lbs.,154,69.853168,--,0,Orthodox,14,5,3,,M,Lightweight
Kazuo Misaki,Kazuo,Misaki,Hitman,"5' 8""",5,8,172.72,183 lbs.,183,83.007336,--,0,Orthodox,24,11,2,,M,Middleweight
Kazushi Sakuraba,Kazushi,Sakuraba,The Gracie Hunter,"6' 0""",6,0,182.88,185 lbs.,185,83.91452,--,0,Southpaw,26,16,1,,M,Middleweight
Kazuyuki Fujita,Kazuyuki,Fujita,Ironhead,"6' 0""",6,0,182.88,235 lbs.,235,106.59412,--,0,Orthodox,15,9,0,,M,Heavyweight
Kazuyuki Miyata,Kazuyuki,Miyata,,"5' 8""",5,8,172.72,139 lbs.,139,63.049288,--,0,Orthodox,11,8,0,,M,Featherweight
Keenan Raymond,Keenan,Raymond,,--,0,0,0,165 lbs.,165,74.84268,--,0,n/a,2,2,0,,M,Welterweight
Keigo Kunihara,Keigo,Kunihara,,"6' 0""",6,0,182.88,235 lbs.,235,106.59412,--,0,Orthodox,3,2,0,,M,Heavyweight
Keiichiro Yamamiya,Keiichiro,Yamamiya,,"5' 11""",5,11,180.34,185 lbs.,185,83.91452,--,0,Southpaw,40,27,10,,M,Middleweight
